Артикул;Категории;Имя;Описание;Высота (cm);Ширина (cm);Длина (cm);Вес (kg);Изображения;Количество;Цена;Тип валюты;Видимость в каталоге;Имя атрибута 1;Значение(-я) аттрибута(-ов) 1;Глобальный атрибут 1;Видимость атрибута 1;Имя атрибута 2;Значение(-я) аттрибута(-ов) 2;Глобальный атрибут 2;Видимость атрибута 2;Имя атрибута 3;Значение(-я) аттрибута(-ов) 3;Глобальный атрибут 3;Видимость атрибута 3;Имя атрибута 4;Значение(-я) аттрибута(-ов) 4;Глобальный атрибут 4;Видимость атрибута 4;Имя атрибута 5;Значение(-я) аттрибута(-ов) 5;Глобальный атрибут 5;Видимость атрибута 5;Имя атрибута 6;Значение(-я) аттрибута(-ов) 6;Глобальный атрибут 6;Видимость атрибута 6;Имя атрибута 7;Значение(-я) аттрибута(-ов) 7;Глобальный атрибут 7;Видимость атрибута 7;Имя атрибута 8;Значение(-я) аттрибута(-ов) 8;Глобальный атрибут 8;Видимость атрибута 8;Имя атрибута 9;Значение(-я) аттрибута(-ов) 9;Глобальный атрибут 9;Видимость атрибута 9;Имя атрибута 10;Значение(-я) аттрибута(-ов) 10;Глобальный атрибут 10;Видимость атрибута 10;Имя атрибута 11;Значение(-я) аттрибута(-ов) 11;Глобальный атрибут 11;Видимость атрибута 11;Имя атрибута 12;Значение(-я) аттрибута(-ов) 12;Глобальный атрибут 12;Видимость атрибута 12;Имя атрибута 13;Значение(-я) аттрибута(-ов) 13;Глобальный атрибут 13;Видимость атрибута 13;Имя атрибута 14;Значение(-я) аттрибута(-ов) 14;Глобальный атрибут 14;Видимость атрибута 14;Имя атрибута 15;Значение(-я) аттрибута(-ов) 15;Глобальный атрибут 15;Видимость атрибута 15;Имя атрибута 16;Значение(-я) аттрибута(-ов) 16;Глобальный атрибут 16;Видимость атрибута 16;Имя атрибута 17;Значение(-я) аттрибута(-ов) 17;Глобальный атрибут 17;Видимость атрибута 17;Имя атрибута 18;Значение(-я) аттрибута(-ов) 18;Глобальный атрибут 18;Видимость атрибута 18;Имя атрибута 19;Значение(-я) аттрибута(-ов) 19;Глобальный атрибут 19;Видимость атрибута 19;Имя атрибута 20;Значение(-я) аттрибута(-ов) 20;Глобальный атрибут 20;Видимость атрибута 20;Имя атрибута 21;Значение(-я) аттрибута(-ов) 21;Глобальный атрибут 21;Видимость атрибута 21;Имя атрибута 22;Значение(-я) аттрибута(-ов) 22;Глобальный атрибут 22;Видимость атрибута 22
101611SM;Ванны;Ванна Paola Basso;Отдельностоящая ванна из материала SoliX, в комплекте со встроенным сливом-переливом и донным клапаном, фурнитира в цвет ванны, поверхность белая матовая;54;160;77;120;https://salini-srl.com/assets/components/phpthumbof/cache/132-e9ux6o.26d2b2f37dd4553bd6a11ffa1ec2f1c7.jpg;1;143990;RUB;visible;Производитель;Salini (Италия/Россия);1;1;Цвет;Белый;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;1;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;1;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;1;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;1;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
E37011B.030;Гигиенические души;Гигиенический набор Paloma Flat;Гигиенический набор: прогрессивный смеситель, ручной душ, шланг 1250мм, держатель-шланговое подсоединение с клапаном (хром);;;;;https://www.bossini.it/images/cached/products/fit/1000.600/E37011_OK.jpg;1;293,5;EUR;visible;Производитель;Bossini (Италия);1;1;Цвет;Хром;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;1;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;1;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
L10095.073;Душевые системы;Душевая система Cosmo;Душевая система внешнего монтажа в комплекте с термостатическим смесителем, верхним d=230мм и ручным душами (черный матовый);;;;;https://www.bossini.it/images/cached/products/fit/1000.600/L10092.png;1;1010;EUR;visible;Производитель;Bossini (Италия);1;1;Цвет;Хром;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;;1;0;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;1;Управление;;1;1;Количество источников;;1;1;Комплектующие;;1;1;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
42300000;Керамика>Раковины;Раковина Massaud;Раковина накладная, без площадки под смеситель (белый);14;80;45;;https://vanna-world.ru/image/cache/catalog/1662vannaworld_459-800x800.jpg;1;1750;EUR;visible;Производитель;Axor (Германия);1;1;Цвет;Белый;1;1;Стиль;Современный;1;1;Тип монтажа;;1;1;Отверстия под смеситель;Без отверстия;1;1;Размеры I;850х450;1;1;Тип раковины;Накладная;1;1;Другие параметры;;1;0;Форма;;1;1;Фурнитура;;1;0;Тип сиденья;;1;0;Цвет сиденья;;1;0;Направление выпуска;;1;0;Материал;;1;1;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;;1;0;Тип;;1;0;Стекло;;1;0;Вид аксессуара;;1;0
10104522-01-01R;Душевые ограждения;Душевое ограждение Furo KDJ;Раздвижная дверь 522мм (стекло 8мм с покрытием Easyclean, профиль хром);2000;522;;;https://www.radaway.pl/wp-content/uploads/2020/07/Furo-KDJ_kadr-683x1024.jpg;1;485;EUR;visible;Производитель;Radaway (Польша);1;1;Цвет;Прозрачное;1;1;Стиль;Современный;1;1;Тип монтажа;Угловой;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;Другие параметры;;1;1;Форма;Прямоугольная;1;1;Фурнитура;Хром;1;1;Тип сиденья;;0;0;Цвет сиденья;;;0;Направление выпуска;;1;0;Материал;;1;0;Вид;;1;0;Управление;;1;0;Количество источников;;1;0;Комплектующие;;1;0;Размеры II;522х2000мм;1;1;Тип;Раздижная;1;1;Стекло;8мм с покрытием EasyClean;1;1;Вид аксессуара;;1;0
10110480-01-01;Душевые ограждения;Душевое ограждение Furo KDJ;Неподвижная часть ограждения 480мм (стекло 8мм с покрытием EasyClean, профиль хром);2000;480;;;https://www.radaway.pl/wp-content/uploads/2020/07/Furo-KDJ_kadr-683x1024.jpg;1;163;EUR;visible;Производитель;Radaway (Польша);1;1;Цвет;Прозрачное;1;1;Стиль;Современный;1;1;Тип монтажа;Угловой;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;1;0;;;1;1;Форма;;1;1;Фурнитура;Хром;1;1;Тип сиденья;;0;0;Цвет сиденья;;;;;;;;;;;;;;;;Управление;;1;0;Количество источников;;1;0;;;;;Размеры II;480х2000;1;1;Тип;Неподвижная;1;1;Стекло;8мм с покрытием EasyClean;1;1;Вид аксессуара;;;
10113090-01-01 ;Душевые ограждения;Боковая стенка Furo S1;Бокова стенка 900х2000мм (стекло 8мм с покрытием EasyClean, профиль хром);2000;900;;;https://www.radaway.pl/wp-content/uploads/2020/07/Furo-KDJ_kadr-683x1024.jpg;1;266;EUR;visible;Производитель;Radaway (Польша);1;1;Цвет;Прозрачное;1;1;Стиль;Современный;;;Тип монтажа;Угловой;1;1;Отверстия под смеситель;;1;0;Размеры I;;1;0;Тип раковины;;;;;;;;Форма;;1;1;Фурнитура;Хром;1;1;Тип сиденья;;0;0;Цвет сиденья;;;0;;;;;;;;;;;;;Управление;;1;0;Количество источников;;1;0;;;;;Размеры II;900х200;1;1;Тип;Неподвижная;1;1;Стекло;8мм с покрытием EasyClean;1;1;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;1;0;Количество источников;;1;0;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
;;;;;;;;;;;;;Производитель;;;;Цвет;;;;Стиль;;;;Тип монтажа;;;;Отверстия под смеситель;;;;Размеры I;;;;Тип раковины;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Управление;;;;Количество источников;;;;;;;;Размеры II;;;;Тип;;;;Стекло;;;;Вид аксессуара;;;
